83,81,80,66,92,89,67,62,75,79,64,76,96,90,94,96,91,82,64,74,92,94,76,86,85,86,63,73
87,85,65,69,91,72,35,62,70,30,65,54,94,91,95,96,94,68,83,26,83,79,31,82,84,84,66,61
77,75,75,84,89,89,39,31,47,42,41,65,95,84,94,96,92,68,58,48,86,83,56,85,91,79,79,54
88,84,74,79,87,87,86,81,91,93,77,91,91,77,87,91,90,91,81,90,86,90,72,72,89,75,93,71
81,84,84,71,93,85,94,97,97,85,97,87,45,90,25,22,21,73,74,71,78,62,65,88,62,80,51,78
70,64,38,51,89,78,37,22,48,34,37,42,89,86,94,93,92,55,49,25,80,62,46,84,33,91,88,54
85,82,82,88,90,89,93,92,90,82,91,96,21,51,17,32,16,84,76,86,89,81,72,77,81,77,84,87
86,83,83,82,84,88,91,89,89,82,92,91,56,78,34,56,47,88,85,85,84,79,89,72,74,84,92,88
82,83,83,79,83,91,87,78,81,85,79,83,37,64,27,41,38,86,88,83,88,85,76,66,85,72,73,92
86,82,74,80,92,77,93,94,89,73,94,90,27,91,16,34,33,75,56,72,74,58,74,75,77,79,68,74
92,91,86,88,91,85,90,94,84,81,87,85,45,81,21,33,30,83,74,77,83,62,79,81,82,60,51,87
91,89,90,90,83,93,87,93,86,86,87,85,63,85,57,53,49,84,81,71,82,81,79,77,83,64,56,96
81,75,71,71,85,79,90,92,91,82,90,94,44,92,21,67,55,76,77,86,82,63,81,88,84,85,78,74
91,89,81,78,76,87,82,78,76,76,82,90,47,60,26,43,51,83,92,84,86,88,92,63,84,62,60,92
81,82,61,60,84,73,51,38,73,59,51,55,88,88,90,87,85,72,45,41,72,71,49,83,80,91,92,62
69,77,81,82,89,67,36,27,55,49,39,54,88,90,93,93,86,46,52,34,67,61,63,93,74,87,71,57
85,82,81,78,86,88,85,77,87,91,80,83,25,51,48,54,55,85,84,83,88,82,81,73,90,73,87,88
93,93,87,80,85,84,83,90,89,81,82,87,61,84,30,39,30,89,70,91,79,60,73,89,86,84,63,86
84,84,81,74,85,88,85,83,83,88,84,91,44,55,34,46,41,88,90,92,88,88,86,77,83,60,55,86
72,70,83,81,89,82,61,53,76,67,63,74,92,86,91,90,89,82,71,65,82,86,71,84,92,81,81,65
88,84,81,79,91,83,91,92,83,79,87,83,39,84,16,19,18,72,60,63,78,62,61,78,83,74,65,78
86,84,89,73,86,87,84,71,76,69,75,80,37,69,30,38,28,91,87,78,88,81,83,65,78,65,42,92
79,81,74,72,85,84,60,61,76,58,68,91,88,83,91,92,87,58,56,70,79,81,62,79,90,82,84,75
69,72,72,77,88,84,78,62,81,81,66,70,89,75,84,90,82,82,67,71,89,85,68,79,92,89,95,75
